了无惧色 (liao,wu,ju,se)
了望台 (liao,wang,tai)
了然 (liao,ran)
了然于胸 (liao,ran,yu,xiong)
了然无闻 (le,ran,wu,wen)
了结 (liao,jie)
了若指掌 (liao,ruo,zhi,zhang)
了解 (liao,jie)
了账 (liao,zhang)
了身达命 (liao,shen,da,ming)
予人口实 (yu,ren,kou,shi)
予以 (yu,yi)
予取予求 (yu,qu,yu,qiu)
予夺生杀 (yu,duo,sheng,sha)
予齿去角 (yu,chi,qu,jiao)
争得 (zheng,de)
事与心违 (shi,yu,xin,wei)
事假 (shi,jia)
事危累卵 (shi,wei,lei,luan)
事后诸葛亮 (shi,hou,zhu,ge,liang)
事在人为 (shi,zai,ren,wei)
二万五千里长征 (er,wan,wu,qian,li,chang,zheng)
二人转 (er,ren,zhuan)
二十八宿 (er,shi,ba,xiu)
二竖为虐 (er,shu,wei,nve)
二重 (er,chong)
二重奏 (er,chong,zou)
二重性 (er,chong,xing)
二重根 (er,chong,gen)
于今为烈 (yu,jin,wei,lie)
于家为国 (yu,jia,wei,guo)
于思 (yu,sai)
亏得 (kui,de)
亏累 (kui,lei)
